Field Name ,Description,Type,Format,Example,Required?,Notes
Memory_type,type of memory,string,"Episodic, Semantic, other",Semantic,no,
mean_age,,,,,,
sd_age,,,,,,
min_age,minimum age of sample,number,integer,18,no,
max_age,maximum age of sample,number,integer,25,no,
gender,proportion female,number,float,0.6,no,Example: 0.6 if 60% female
answer_type_in_training,,,,,,
learning_material_type_in_training,type of question in training,string,"MCQ, Single word, Short open answer, Longer answers",MCQ,no,"If training and post-test differ, report the training question type"
participant_design,groups comparison for effect size,string,Between or Within,Between,no,
study_structure,study phase structure,string,"Pretest-Training-Posttest, Pretest-Training, Training-Posttest",Pretest-Training-Posttest,no,
conditions_order,conditions order in study,string,"Counterbalanced, Not_counterbalanced, Simultaneous",Counterbalanced,no,
assignment_participants,assignment procedure,string,"Randomly, Pseudorandom, Non-random",Randomly,no,
training_duration,duration of training in days,string,text,7 days,no,
Nb_question_in_training,number of questions in training,number,integer,50,no,
interval_btw_last_feedback_and_posttest_controlled,whether the interwal between the last feedback in the training and the posttest is controlled between two feedback timing conditons,string,yes or no,yes,no,
measure_of_outcome,outcome measure type,string,"Posttest_performance, Number of trials needed, Response time",Posttest_performance,no,
memory_retrieval_vs_knowledge_application,posttest category general,,,,,
posttest_category,,,"Recall (Free Recall): Assessing the ability to retrieve information without cues.
Recall (Cued Recall): Assessing the ability to retrieve information with the aid of cues.
Recall (Reversed Cued): Likely involves recalling information when presented with cues in a reversed or altered manner compared to the learning phase.
Recognition: Identifying previously learned information from a set of options.
Comprehension: Understanding and interpreting information, possibly involving inferential reasoning.
Application: Applying learned knowledge or skills to new or different situations.
Mixed: Any post-test that includes a combination of the above tasks, or tasks that don't neatly fit into one category.",,,
type_posttest,type of posttest,string,"MCQ, Single word, Short open answer, Longer answers",MCQ,no,
Item_posttest,posttest item type,string,"Different_from_training, Identical_to_training, Mixed",Identical_to_training,no,
feedback_provider,who provided feedback,string,"Teacher, Technology, Peer",Teacher,no,
system_adaptivity,adaptivity of system,string,"Adaptive_item_presentation, Adaptive_feedback, Non_adaptive",Non_adaptive,no,
data_link,link to dataset,string,URL,http://data-link.com,no,
Preregistered,preregistration status,string,yes or no,yes,no,
n_excluded,number of participants excluded,number,integer,2,no,
nb_measurement_points,number of measurement points ,number,integer,1: if there is only posttest and 2 if there is pre and posttest,no,
time_limit_for_answer,time limit for answers if applied,string,text,30 seconds,no,
time_limit_for_answer_not_indicated_explicitly,if time limit for answer info is not reported explicitly but could be inferred from the study design,,,,,
extra_group_exist,is there an extra group in terms of timing (or a control),,,,,
n_posttest_in_exp,number of posttest in the experiment,,,,,
posttest_number,the posttest number the data extracted from,,,,,
delayed_feedback_given_in,whether the delayed feedback is given in one go or separately after each item,,,,,
retention_interval_difference_last_feedback_posttest_immediate_vs_delayed,especially for one go studies,,,,,
B.2 Group-level [dark_green]: Properties coded separately for each group,,,,,,
retention_interval_[condition],"For each condition, the interval(day) between the end of training and the posttest is recorded in hours, with the training considered to end at the last response.",number,integer,48,no,In hours
feedback_provided_[condition],feedback dependent on error,string,yes or no,yes,no,
nb_times_feedback_provided_[condition],how many times during the training the feedback is provided,,,,,NA if the feedback only given for errors
feedback_remind_answer_[condition],whether the initial answer of the participants are reminded during the feedback presentation,,,,,
C. Required for Effect Size [red],,,,,,
N_total,total number of participants,numeric,integer,,yes,this is the already excluded version
n_extra_group_if_any,,,,,,
n_i,"Number of participants in the immediate feedback condition for between-subjects designs; for within-subjects designs, enter the total number of participants exposed to both conditions.",numeric,integer,30,yes,
n_d,"Number of participants in the delayed feedback condition for between-subjects designs; for within-subjects designs, enter the total number of participants exposed to both conditions.",numeric,integer,30,yes,
mean_i,Mean of the dependent variable for the immediate feedback condition.,numeric,float,3.5,Required for effect size calculation.,
mean_d,Mean of the dependent variable for the delayed feedback condition.,numeric,float,2.8,Required for effect size calculation.,
sd_i,Standard deviation of the dependent variable for the immediate feedback condition.,numeric,float,0.5,"At least one of the following measurements is necessary for calculating effect size: mean and standard deviation (SD) or standard error (SE), t-statistic, or F-statistic. Ensure to provide data for the measure most relevant and available for robust effect size estimation.",
sd_d,Standard deviation of the dependent variable for the delayed feedback condition.,numeric,float,0.1,,
se_i,Standard error of the dependent variable for the immediate feedback condition.,numeric,float,0.02,,
se_d,Standard error of the dependent variable for the delayed feedback condition.,numeric,float,0.02,,
lower_CI,Lower confidence interval.,numeric,float,1.96,,
upper_CI,Upper confidence interval.,numeric,float,,,
t,t from the comparison of the two conditions.,numeric,float,"1: for change, 0: for no change",,
SEM,Standard Error of the Mean (SEM) for t statistics indicates the precision of the sample mean estimate relative to the true population mean.	,numeric,float,,,
F,"F-statistic from an ANOVA test, used to determine whether there are any statistically significant differences between the means of three or more independent groups.",numeric,float,5.4,,
cohens_f,Measure of effect size used especially in the context of ANOVA,numeric,float,0.3,,This should be calculated when you have ANOVA results available. It provides a sense of the standardized difference between groups.
se_f,Standard Error of Cohen's f.,numeric,float,0.05,,"Calculate this if Cohen's f is used, typically derived from the variance estimates used in the ANOVA"
F_sign_change,A field to note any changes in the sign of F-statistic due to transformations of the direction.,numeric,integer,,,
df,"Degrees of freedom associated with the statistical test, often reflecting the number of values in the final calculation that are free to vary.",numeric,integer,48,,
p,p-value,numeric,float,0.04,,
eta_square,"Eta squared, a measure of effect size in ANOVA, indicating the proportion of the total variance that is attributable to an effect.",numeric,float,0.2,,
partial_eta_square,"Partial eta squared, similar to eta squared but accounts only for variance explained by one specific factor, controlling for other factors in the model.",numeric,float,0.1,,
odd_ratio,odd_ratio,numeric,float,2.5,,
logg_odd,"Log of odds ratio, transforming the odds ratio to a linear scale",numeric,float,0.92,,
SE_logg_odd,Standard error of the log odds ratio,numeric,float,0.1,,
corr,"Correlation coefficient if within designs, representing the strength and direction of a linear relationship between two variables.",numeric,float,0.6,,Assume r = 0.5 if not reported; crucial for calculating within-subject effect sizes.
power,statistical power,numeric,float,0.8,,
beta,Beta coefficient in regression analysis,numeric,float,0.5,,
SE_beta,Standard error of the beta coefficient,numeric,float,0.05,,
n_point,The number of data points or observations used in the calculation of a particular statistic.,numeric,integer,100,,Particularly useful in regression analyses or where sample size may affect the reliability of the statistic.
effect_size_original,if the effect size is already reported in the paper,,,,,
SE_original,if the se is already reported in the paper,,,,,
effect_size_calculated,"Calculate the effect size (Cohen's d) based on the study's participant design (between vs within) and available data (mean, SD, SE, F, T). Use the appropriate calculator for between designs or assume r=0.5 for within designs if correlation is not reported.:

",numeric,float,,yes,"Always calculate the effect size in the direction of immediate vs delayed feedback. 

Relevant calculators:

https://www.campbellcollaboration.org/calculator/d-oneway-2-equal

For within-participant designs : https://camel.psyc.vt.edu/models/stats/effect_size.shtml

For effect size convertor: https://www.escal.site/

or check effect_size_guide.pdf"
se_effect_size_calcualted,standard error (SE) of the effect size using the same data and calculators as the effect size. This helps quantify the precision of the effect size estimate. ,numeric,float,,no,"If available, include the SE to provide insight into the reliability of the effect size. Use the same online resources as for effect size calculation."
Effect_size_formula_to_be_used,"Describes the formula to be used for effect size calculation, based on design and available data.",string,,"between_with_mean_sd
that means its between participant design that I know the mean and sd of the groups in comparison",yes,
decision_justification,important decisions taken during the extraction are justified here,,,,no,
Double Coder Extractions,,,,,,
Double_coder,first letters of first and last names of the secondary coder,,,,yes,
effect_size_double_coder,effect size calculated by the secondary coder,,,,yes,
se_effect_size_double_coder,SE calculated by the secondary coder,,,,yes,
"Quality Assesment (Kmet et al. , 2004)",,,,,yes,
Method of subject/comparison group selection or source of information/input variables described and appropriate? ,,,"yes, partial, no, NA",,yes,
"Subject (and comparison group, if applicable) characteristics sufficiently described?",,,"yes, partial, no, NA",,yes,
"If interventional and random allocation was possible, was it described?",,,"yes, partial, no, NA",,yes,
"If interventional and blinding of investigators was possible, was it reported?",,,"yes, partial, no, NA",,yes,
"If interventional and blinding of subjects was possible, was it reported?",,,"yes, partial, no, NA",,yes,
Outcome and (if applicable) exposure measure(s) well defined and robust to measurement/misclassification bias? Means of assessment reported?,,,"yes, partial, no, NA",,yes,
Sample size appropriate?,,,"yes, partial, no, NA",,yes,
Analytic methods described/justified and appropriate?,,,"yes, partial, no, NA",,yes,
Some estimate of variance is reported for the main results?,,,"yes, partial, no, NA",,yes,
Controlled for confounding?,,,"yes, partial, no, NA",,yes,
Results reported in sufficient detail?,,,"yes, partial, no, NA",,yes,
Conclusions supported by the results?,,,"yes, partial, no, NA",,yes,
